_id,Date,HB,HealthcareCdiffInfection,HealthcareCdiffInfectionQF,HealthcareEcoliBacteraemia,HealthcareEcoliBacteraemiaQF,HealthcareSaureusBacteraemia,HealthcareSaureusBacteraemiaQF,HealthcareTotalOccupiedBedDays,HealthcareTotalOccupiedBedDaysQF,CommunityCdiffInfection,CommunityCdiffInfectionQF,CommunityEcoliBacteraemia,CommunityEcoliBacteraemiaQF,CommunitySaureusBacteraemia,CommunitySaureusBacteraemiaQF,CommunityAnnualisedPopulation,CommunityAnnualisedPopulationQF,HipArthroplastySSI,HipArthroplastySSIQF,HipArthroplastyProcedures,HipArthroplastyProceduresQF,CsectionSSI,CsectionSSIQF,CsectionProcedures,CsectionProceduresQF
193,2020Q1,S08000031,65,"",123,"",75,"",413057,"",7,"",95,"",23,"",294163.7158,"",,z,,z,,z,,z
194,2020Q1,S08000032,20,"",64,"",29,"",140747,"",3,"",76,"",19,"",164570.765,"",,z,,z,,z,,z
195,2020Q1,SB0801,1,"",0,"",1,"",10915,"",,z,,z,,z,,z,,z,,z,,z,,z
196,2020Q2,S08000015,13,"",36,"",23,"",81868,"",8,"",45,"",13,"",91835.40984,"",,z,,z,,z,,z
197,2020Q2,S08000016,4,"",14,"",5,"",21568,"",0,"",7,"",5,"",28719.69945,"",,z,,z,,z,,z
198,2020Q2,S08000017,3,"",10,"",4,"",27088,"",2,"",22,"",4,"",37011.63934,"",,z,,z,,z,,z
199,2020Q2,S08000019,7,"",33,"",16,"",58320,"",2,"",29,"",11,"",76241.0929,"",,z,,z,,z,,z
200,2020Q2,S08000020,13,"",36,"",18,"",94592,"",10,"",45,"",13,"",145624.8634,"",,z,,z,,z,,z
201,2020Q2,S08000022,13,"",13,"",3,"",50361,"",9,"",26,"",9,"",79985.51913,"",,z,,z,,z,,z
202,2020Q2,S08000024,31,"",57,"",30,"",182151,"",18,"",48,"",20,"",225655.1366,"",,z,,z,,z,,z
203,2020Q2,S08000025,0,"",0,"",0,"",2102,"",0,"",1,"",0,"",5537.076503,"",,z,,z,,z,,z
204,2020Q2,S08000026,0,"",0,"",2,"",1591,"",0,"",2,"",0,"",5698.688525,"",,z,,z,,z,,z
205,2020Q2,S08000028,0,"",2,"",2,"",3200,"",1,"",5,"",3,"",6643.497268,"",,z,,z,,z,,z
206,2020Q2,S08000029,5,"",23,"",4,"",63241,"",1,"",36,"",13,"",92877.18579,"",,z,,z,,z,,z
207,2020Q2,S08000030,7,"",28,"",24,"",81757,"",2,"",41,"",11,"",103797.1858,"",,z,,z,,z,,z
208,2020Q2,S08000031,49,"",125,"",69,"",304920,"",13,"",111,"",14,"",294163.7158,"",,z,,z,,z,,z
209,2020Q2,S08000032,21,"",51,"",16,"",100174,"",13,"",70,"",16,"",164570.765,"",,z,,z,,z,,z
210,2020Q2,SB0801,1,"",1,"",3,"",8152,"",,z,,z,,z,,z,,z,,z,,z,,z
211,2020Q3,S08000015,20,"",60,"",16,"",97707,"",7,"",64,"",15,"",92844.59016,"",,z,,z,,z,,z
212,2020Q3,S08000016,2,"",13,"",2,"",25295,"",4,"",8,"",1,"",29035.30055,"",,z,,z,,z,,z
213,2020Q3,S08000017,10,"",11,"",6,"",36727,"",6,"",23,"",3,"",37418.36066,"",,z,,z,,z,,z
214,2020Q3,S08000019,10,"",42,"",11,"",66078,"",1,"",56,"",9,"",77078.9071,"",,z,,z,,z,,z
215,2020Q3,S08000020,14,"",51,"",22,"",106471,"",10,"",39,"",18,"",147225.1366,"",,z,,z,,z,,z
216,2020Q3,S08000022,14,"",19,"",3,"",59671,"",8,"",32,"",13,"",80864.48087,"",,z,,z,,z,,z
217,2020Q3,S08000024,38,"",68,"",27,"",217934,"",21,"",83,"",27,"",228134.8634,"",,z,,z,,z,,z
218,2020Q3,S08000025,0,"",1,"",0,"",2700,"",2,"",1,"",2,"",5597.923497,"",,z,,z,,z,,z
219,2020Q3,S08000026,2,"",2,"",1,"",2091,"",1,"",1,"",0,"",5761.311475,"",,z,,z,,z,,z
220,2020Q3,S08000028,0,"",3,"",2,"",4152,"",0,"",6,"",0,"",6716.502732,"",,z,,z,,z,,z
221,2020Q3,S08000029,7,"",34,"",15,"",75003,"",6,"",44,"",6,"",93897.81421,"",,z,,z,,z,,z
222,2020Q3,S08000030,5,"",42,"",24,"",99451,"",6,"",39,"",12,"",104937.8142,"",,z,,z,,z,,z
223,2020Q3,S08000031,77,"",142,"",70,"",377250,"",10,"",106,"",27,"",297396.2842,"",,z,,z,,z,,z
224,2020Q3,S08000032,27,"",58,"",24,"",122500,"",8,"",112,"",16,"",166379.235,"",,z,,z,,z,,z
225,2020Q3,SB0801,1,"",1,"",2,"",10016,"",,z,,z,,z,,z,,z,,z,,z,,z
